id	title	summary	link	image
1	The best (and worst) Super Bowl commercials this year	 Eric Deggans Eugene Levy's famous eyebrows uh ... get away from him ... in Little Caesars' commercial for Crazy Puffs.Little Caesars'/Screenshot by NPRhide caption In an unsettled time, the most effe...	https://www.npr.org/2025/02/09/nx-s1-5273643/super-bowl-commercials-best-worst	https://images.ctfassets.net/2h5kbjx7tvqe/0ntHneBgSafiVmrUF4eNg/fca5ade0c2107504eb318cb037170a49/TWA_2025_cover_1280x720.jpg?h=512&w=1024&fit=fill
3	Anne Hathaway has people talking after Super Bowl appearance	 Anne Hathaway appears to have stolen the show at the Super Bowl. TheSuper Bowlis known for bringing out celebrities. After all, it's the biggest sporting and cultural event of the year. Having the Su...	https://www.outkick.com/culture/anne-hathaway-super-bowl-appearance	https://www.economist.com/cdn-cgi/image/format=auto/content-assets/images/20250208_FND001.jpg
2	Trump brings members of Congress to Super Bowl	 Lindsey Graham and Tommy Tuberville are among those at the game in New Orleans. President Donald Trump is at the Caesars Superdome inNew Orleanswatching theSuper Bowl, marking the first time a sittin...	https://abcnews.go.com/US/trump-1st-sitting-president-attend-super-bowl-new-orleans/story?id=118635084	https://www.economist.com/cdn-cgi/image/format=auto/content-assets/images/20250208_FND000.jpg
